insertId,jsonPayload.levelname,jsonPayload.message,"labels.""compute.googleapis.com/resource_id""","labels.""compute.googleapis.com/resource_name""","labels.""compute.googleapis.com/zone""","labels.""ml.googleapis.com/endpoint""","labels.""ml.googleapis.com/job_id/log_area""","labels.""ml.googleapis.com/job_state""","labels.""ml.googleapis.com/tpu_worker_id""","labels.""ml.googleapis.com/trial_id""","labels.""ml.googleapis.com/trial_type""",logName,receiveLocation,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
11qzfhlf9whwh3,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 685, in _sync_gca_resource",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797748441Z
11qzfhlf9whwh2,ERROR,"    self._sync_gca_resource()",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797735609Z
11qzfhlf9whwh1,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 545, in state",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797561621Z
11qzfhlf9whwh0,ERROR,"    while self.state not in _PIPELINE_COMPLETE_STATES:",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797549629Z
11qzfhlf9whwgz,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 632, in _block_until_complete",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797386495Z
11qzfhlf9whwgy,ERROR,"    self._block_until_complete()",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797375126Z
11qzfhlf9whwgx,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 603, in _get_model",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797216447Z
11qzfhlf9whwgw,ERROR,"    model = self._get_model()",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797200492Z
11qzfhlf9whwgv,ERROR,"  File ""/opt/python3.7/lib/python3.7/site-packages/google/cloud/aiplatform/training_jobs.py"", line 516, in _run_job",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797071243Z
11qzfhlf9whwgu,ERROR,"    model=model,",5938196076922728443,gke-cml-1022-164151--e2-standard-4-43-6e745f34-0n8p,us-central1-b,,root,,,,,projects/qwiklabs-gcp-03-0f91e49b4fd6/logs/workerpool0-0,,2023-10-22T17:22:36.187374552Z,7361657851825094656,qwiklabs-gcp-03-0f91e49b4fd6,workerpool0-0,ml_job,ERROR,,2023-10-22T17:22:32.797050070Z
